,Brand,Name of the product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
137,Kadence,Kadence Acoustica Series Semi Acoustic Ash Wood with Equlizer A-06 (Guitar Super Combo with Accessories),"8,499",7 days Replacement,"Friday, 11 August",In stock,https://www.amazon.in/Kadence-Acoustica-Acoustic-Equlizer-Accessories/dp/B09BVH7BMJ/ref=sr_1_114?keywords=guitar&qid=1691287324&sr=8-114
138,Cort,Cort AD810E Dreadnought Electro Acoustic Guitar,"12,699",7 days Replacement,"Tuesday, 8 August",In stock,https://www.amazon.in/Cort-AD810E-Dreadnought-Electro-Acoustic/dp/B00V9RNUD2/ref=sr_1_115?keywords=guitar&qid=1691287324&sr=8-115
139,Blueberry,"Blueberry 38C, 38"" Acoustic Guitar Kit with Bag, Strap, One Pack Strings And Picks (Sunburst)","2,395",7 days Replacement,"Saturday, 12 August",In stock,https://www.amazon.in/Blueberry-38C-Acoustic-Strings-Sunburst/dp/B08KLMQN88/ref=sr_1_116?keywords=guitar&qid=1691287324&sr=8-116
140,NM Signature,"NM Signature Electra Blue Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks","3,789",7 days Returnable,"Wednesday, 16 August",Only 2 left in stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzk0OTkxMjMxMDg1Nzk1OjE2OTEyODczMjQ6c3BfbXRmOjMwMDAyOTM0Mzg3NjYzMjo6MDo6&url=%2FNM-Signature-Rosewood-Fretboard-Acoustic%2Fdp%2FB09X659PN7%2Fref%3Dsr_1_117_sspa%3Fkeywords%3Dguitar%26qid%3D1691287324%26sr%3D8-117-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
141,Kaps,"Kaps ST - 1ACM, 6-Strings, Acoustic Guitar , Right-Handed, Wine Red, With Guitar Cover/Bag","7,999",7 days Replacement,11 - 14 August,Only 1 left in stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzk0OTkxMjMxMDg1Nzk1OjE2OTEyODczMjQ6c3BfbXRmOjMwMDAyNzU1MzU2ODQzMjo6MDo6&url=%2FKaps-ST-6-Strings-Acoustic-Right-Handed%2Fdp%2FB01D9OK6NY%2Fref%3Dsr_1_118_sspa%3Fkeywords%3Dguitar%26qid%3D1691287324%26sr%3D8-118-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA25SDO8DM1FXLU
142,FESTRA,"Festra R-40-Natural Acoustic Guitar Kit with Bag, Strap, One Pack Strings And 2 Picks","4,076",7 days Replacement,"Saturday, 12 August",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzk0OTkxMjMxMDg1Nzk1OjE2OTEyODczMjQ6c3BfbXRmOjIwMDc4MzM2ODg1OTk4OjowOjo&url=%2FFestra-R-40-Natural-Acoustic-Guitar-Strings%2Fdp%2FB09VL5DX17%2Fref%3Dsr_1_119_sspa%3Fkeywords%3Dguitar%26qid%3D1691287324%26sr%3D8-119-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
143,VAULT,"Vault Traveller 34 Inch Acoustic Guitar With Truss Rod, Gig-Bag, Strap, Strings, Polishing Cloth, String Winder, Picks & E-Book - Natural Gloss","4,029",7 days Replacement,"Tuesday, 8 August",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzk0OTkxMjMxMDg1Nzk1OjE2OTEyODczMjQ6c3BfbXRmOjIwMDM2MjI1NzQxMDk4OjowOjo&url=%2FTraveller-Acoustic-Guitar-Strings-Polishing%2Fdp%2FB07RK9962M%2Fref%3Dsr_1_120_sspa%3Fkeywords%3Dguitar%26qid%3D1691287324%26sr%3D8-120-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
144,JUAREZ,"Juârez Acoustic Guitar, 38 Inch Cutaway, JRZ38C with Bag, Strings, Pick and Strap, Red","2,489",7 days Replacement,"Wednesday, 9 August",In stock,https://www.amazon.in/JUAREZ-JRZ38C-Handed-Acoustic-Strings/dp/B01FYYTDW2/ref=sr_1_121?keywords=guitar&qid=1691287324&sr=8-121
145,Fender,Fender Acoustic Guitar Dreadnought Solid CD60S Black 970110006,"18,091",7 days Replacement,"Thursday, 10 August",In stock,https://www.amazon.in/Fender-Classic-Design-Dreadnought-Acoustic/dp/B07HYS18LJ/ref=sr_1_122?keywords=guitar&qid=1691287324&sr=8-122
146,Cort,"Cort AD880CE BK, 6 Strings Acoustic Guitar, Right-Handed, Black, without case","16,399",7 days Replacement,"Tuesday, 8 August",Only 1 left in stock,https://www.amazon.in/Cort-AD880CE-BK-Acoustic-Right-Handed/dp/B00LCUPZ20/ref=sr_1_123?keywords=guitar&qid=1691287324&sr=8-123
